HTF    36
    1  31     -13.000000     -13.000000
  5
   0.001   9.920E-01   7.438E-03   2.006E-03  -1.781E-03  -7.762E-03   7.431E-03   1.002E+00  -1.782E-03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03
    0.01   9.740E-01   1.888E-02   6.088E-03  -4.219E-03  -2.560E-02   2.018E-02   1.006E+00  -5.844E-03   4.948E-02   4.948E-02   9.999E+03   9.999E+03   4.948E-02   4.948E-02   9.999E+03   9.999E+03
     0.1   9.314E-01   4.283E-03   1.302E-02  -6.476E-03  -7.565E-02   1.251E-02   1.021E+00  -2.034E-02   4.875E-02   9.999E+03   4.875E-02   9.999E+03   4.875E-02   4.875E-02   4.875E-02   4.875E-02
       1   9.854E-01  -3.805E-02   3.968E-02  -1.513E-02  -2.661E-02  -4.481E-02   1.066E+00  -1.019E-02   5.124E-02   5.124E-02   5.124E-02   5.124E-02   5.124E-02   5.124E-02   5.124E-02   5.124E-02
      10   1.011E+00   3.384E-03   2.641E-02   1.695E-02   1.868E-02  -3.830E-03   1.031E+00   2.649E-02   5.104E-02   9.999E+03   5.104E-02   5.104E-02   5.104E-02   9.999E+03   5.104E-02   5.104E-02
    2  32     -13.000000      -9.000000
  5
   0.001   9.941E-01   5.302E-03   3.047E-03  -2.759E-03  -8.994E-03   8.671E-03   9.968E-01   3.064E-03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03
    0.01   9.807E-01   1.191E-02   9.311E-03  -6.907E-03  -2.958E-02   2.408E-02   9.896E-01   8.437E-03   4.926E-02   4.926E-02   9.999E+03   9.999E+03   4.926E-02   4.926E-02   4.926E-02   9.999E+03
     0.1   9.529E-01  -2.026E-02   2.149E-02  -1.284E-02  -9.046E-02   2.242E-02   9.691E-01   1.111E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02
       1   1.077E+00  -9.669E-02   6.757E-02  -3.670E-02  -5.273E-02  -5.093E-02   9.673E-01  -1.327E-02   5.103E-02   5.103E-02   5.103E-02   5.103E-02   5.103E-02   5.103E-02   5.103E-02   5.103E-02
      10   1.186E+00   2.104E-02   7.677E-02   3.405E-02   2.082E-02  -1.494E-02   9.916E-01  -6.144E-03   5.423E-02   5.423E-02   5.423E-02   5.423E-02   5.423E-02   5.423E-02   9.999E+03   9.999E+03
    3  33    -13.000000      -5.000000
  5
   0.001   9.959E-01   3.458E-03   2.188E-03  -2.000E-03  -6.186E-03   5.969E-03   9.930E-01   6.699E-03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03
    0.01   9.864E-01   5.547E-03   6.716E-03  -5.148E-03  -2.034E-02   1.663E-02   9.777E-01   1.904E-02   4.910E-02   9.999E+03   9.999E+03   9.999E+03   4.910E-02   4.910E-02   4.910E-02   4.910E-02
     0.1   9.747E-01  -4.031E-02   1.605E-02  -1.045E-02  -6.313E-02   1.548E-02   9.304E-01   3.383E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02
       1   1.144E+00  -1.189E-01   5.391E-02  -2.546E-02  -3.132E-02  -3.514E-02   8.984E-01  -1.309E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02
      10   1.259E+00   4.473E-02   4.459E-02   3.227E-02   8.928E-03  -8.226E-03   9.591E-01  -3.228E-02   5.495E-02   5.495E-02   5.495E-02   5.495E-02   9.999E+03   9.999E+03   5.495E-02   5.495E-02
    4  34     -13.000000       5.000000
  5
   0.001   9.959E-01   3.458E-03  -2.191E-03   2.011E-03   6.192E-03  -5.970E-03   9.930E-01   6.699E-03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03
    0.01   9.864E-01   5.547E-03  -6.716E-03   5.150E-03   2.034E-02  -1.663E-02   9.777E-01   1.904E-02   4.910E-02   9.999E+03   9.999E+03   9.999E+03   4.910E-02   4.910E-02   4.910E-02   4.910E-02
     0.1   9.747E-01  -4.031E-02  -1.605E-02   1.045E-02   6.313E-02  -1.548E-02   9.304E-01   3.383E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02   4.762E-02
       1   1.144E+00  -1.189E-01  -5.391E-02   2.546E-02   3.132E-02   3.514E-02   8.984E-01  -1.309E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02   5.069E-02
      10   1.259E+00   4.473E-02  -4.459E-02  -3.227E-02  -8.928E-03   8.226E-03   9.591E-01  -3.228E-02   5.495E-02   5.495E-02   5.495E-02   5.495E-02   9.999E+03   9.999E+03   5.495E-02   5.495E-02
    5  35     -13.000000       9.000000
  5
   0.001   9.941E-01   5.302E-03  -3.050E-03   2.769E-03   9.001E-03  -8.672E-03   9.968E-01   3.064E-03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03   9.999E+03
    0.01   9.807E-01   1.191E-02  -9.311E-03   6.909E-03   2.958E-02  -2.408E-02   9.896E-01   8.437E-03   4.926E-02   4.926E-02   9.999E+03   9.999E+03   4.926E-02   4.926E-02   4.926E-02   9.999E+03
     0.1   9.529E-01  -2.026E-02  -2.149E-02   1.284E-02   9.046E-02  -2.242E-02   9.691E-01   1.111E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02   4.805E-02
