MT    36
1     31          -13         -13
5
0.001 4.086E-05 -3.213E-05 6.397E-04 -6.433E-04 -5.713E-04 5.686E-04 -1.426E-04 1.363E-04 2.043E-06 1.606e-06 3.199E-05 3.217e-05 2.856e-05 2.843E-05 7.13e-06 6.813E-06
0.01 1.186E-04 -4.601E-05 2.023E-03 -2.049E-03 -1.801E-03 1.766E-03 -4.494E-04 3.862E-04 5.929E-06 2.3e-06 1.012E-04 0.0001025 9.007e-05 8.829E-05 2.247e-05 1.931E-05
0.1 1.043E-04 9.203E-05 6.409E-03 -6.742E-03 -5.329E-03 5.741E-03 -1.362E-03 8.236E-04 5.216E-06 4.601E-06 3.205E-04 0.0003371 0.0002664 2.870E-04 6.809e-05 4.118E-05
1 2.152E-05 -3.458E-04 2.195E-02 -2.169E-02 -1.900E-02 2.100E-02 -2.785E-03 5.968E-04 1.076E-06 1.729e-05 1.098E-03 0.001084 0.00095 1.050E-03 0.0001393 2.984E-05
10 9.237E-04 -8.783E-04 6.588E-02 -6.390E-02 -6.325E-02 6.409E-02 -2.618E-03 4.243E-05 4.618E-05 4.391e-05 3.294E-03 0.003195 0.003162 3.204E-03 0.0001309 2.122E-06
2     32          -13         -9
5
0.001 5.716E-05 -4.793E-05 4.788E-04 -4.845E-04 -6.315E-04 6.277E-04 -2.256E-04 2.157E-04 2.858E-06 2.397e-06 2.394E-05 2.423e-05 3.158e-05 3.139E-05 1.128e-05 1.078E-05
0.01 1.734E-04 -8.989E-05 1.514E-03 -1.564E-03 -1.987E-03 1.947E-03 -7.092E-04 6.132E-04 8.672E-06 4.495e-06 7.569E-05 7.82e-05 9.935e-05 9.733E-05 3.546e-05 3.066E-05
0.1 2.910E-04 8.861E-05 4.767E-03 -5.366E-03 -5.779E-03 6.417E-03 -2.104E-03 1.382E-03 1.455E-05 4.430E-06 2.384E-04 0.0002683 0.000289 3.209E-04 0.0001052 6.911E-05
1 -1.102E-04 6.153E-05 1.689E-02 -2.011E-02 -2.152E-02 2.511E-02 -4.945E-03 2.124E-03 5.508e-06 3.077E-06 8.445E-04 0.001005 0.001076 1.256E-03 0.0002473 1.062E-04
