MT 1
99 99 0.0 0.0
0
NMT2_APP_RES_AND_PHS  7
1     99           0.0          0.0          0.0          15.0         0.0          0.0          10.0         0.0
5
0.001   3.8084E-04  -4.1151E+01   4.1260E+01  -4.6929E+01   5.5395E+01   1.3420E+02   1.3756E-04   1.3735E+02   2.7698E+00  -1.0000E+00   2.7698E+00   3.8491E+00   2.7698E+00   2.8660E+00   2.7698E+00  -1.0000E+00
 0.01   1.2163E-04  -5.3921E+00   4.6820E+01  -4.9715E+01   5.7375E+01   1.3279E+02   2.5802E-05   1.6213E+02   2.8688E+00  -1.0000E+00   2.8688E+00   3.5128E+00   2.8688E+00   2.8660E+00   2.8688E+00  -1.0000E+00
  0.1   5.4077E-04  -1.2769E+02   7.9533E+01  -5.9998E+01   8.2698E+01   1.2241E+02   8.1100E-04   7.0034E+01   4.1349E+00  -1.0000E+00   4.1349E+00   2.9801E+00   4.1349E+00   2.8660E+00   4.1349E+00  -1.0000E+00
    1   1.2417E-02  -9.2942E+01   1.4186E+02  -5.1890E+01   1.3983E+02   1.2834E+02   1.0909E-02   9.9965E+01   7.0928E+00  -1.0000E+00   7.0928E+00   2.8660E+00   7.0928E+00   2.9075E+00   7.0928E+00  -1.0000E+00
   10   1.2948E-01  -1.1657E+02   2.4599E+02  -6.2528E+01   2.3740E+02   1.1664E+02   1.4942E-01   2.2832E+01   1.2300E+01  -1.0000E+00   1.2300E+01   2.8660E+00   1.2300E+01   2.9697E+00   1.2300E+01  -1.0000E+00
2     99           0.0          0.0          0.0          15.0         0.0          0.0          -8.0         0.0
5
0.001   1.4148E-04  -4.0594E+01   3.6737E+01  -4.7388E+01   5.5395E+01   1.3420E+02   1.3756E-04   1.3735E+02   2.7698E+00  -1.0000E+00   2.7698E+00   4.3239E+00   2.7698E+00   2.8660E+00   2.7698E+00  -1.0000E+00
 0.01   1.0556E-04   4.1733E+01   4.3269E+01  -5.0704E+01   5.7375E+01   1.3279E+02   2.5802E-05   1.6213E+02   2.8688E+00  -1.0000E+00   2.8688E+00   3.8016E+00   2.8688E+00   2.8660E+00   2.8688E+00  -1.0000E+00
  0.1   2.4661E-04   1.6958E+02   7.8152E+01  -6.0782E+01   8.2698E+01   1.2241E+02   8.1100E-04   7.0034E+01   4.1349E+00  -1.0000E+00   4.1349E+00   3.0329E+00   4.1349E+00   2.8660E+00   4.1349E+00  -1.0000E+00
    1   1.7968E-03  -1.0885E+02   1.4079E+02  -5.1779E+01   1.3983E+02   1.2834E+02   1.0909E-02   9.9965E+01   7.0395E+00  -1.0000E+00   7.0395E+00   2.8660E+00   7.0395E+00   2.8856E+00   7.0395E+00  -1.0000E+00
   10   1.8913E-01  -1.4800E+02   2.4546E+02  -6.3264E+01   2.3740E+02   1.1664E+02   1.4942E-01   2.2832E+01   1.2273E+01  -1.0000E+00   1.2273E+01   2.8660E+00   1.2273E+01   2.9633E+00   1.2273E+01  -1.0000E+00
3     99           0.0          0.0          -8.0         0.0          0.0          0.0          -15.0        -15.0
5
0.001   1.4148E-04  -4.0594E+01   3.6737E+01  -4.7388E+01   6.8930E+01   1.3496E+02   5.1187E+00  -3.8825E+01   3.4465E+00  -1.0000E+00   3.4465E+00   5.3831E+00   3.4465E+00   2.8660E+00   3.4465E+00   4.2323E+01
 0.01   1.0556E-04   4.1733E+01   4.3269E+01  -5.0704E+01   6.7213E+01   1.3458E+02   3.1011E+00  -2.5521E+01   3.3606E+00  -1.0000E+00   3.3606E+00   4.4546E+00   3.3606E+00   2.8660E+00   3.3606E+00  -1.0000E+00
  0.1   2.4661E-04   1.6958E+02   7.8152E+01  -6.0782E+01   8.4990E+01   1.2454E+02   8.2452E-01   5.0539E+00   4.2495E+00  -1.0000E+00   4.2495E+00   3.1170E+00   4.2495E+00   2.8660E+00   4.2495E+00  -1.0000E+00
    1   1.7968E-03  -1.0885E+02   1.4079E+02  -5.1779E+01   1.3635E+02   1.2850E+02   2.0123E-02   1.0123E+02   7.0395E+00  -1.0000E+00   7.0395E+00   2.8660E+00   7.0395E+00   2.9594E+00   7.0395E+00  -1.0000E+00
   10   1.8913E-01  -1.4800E+02   2.4546E+02  -6.3264E+01   2.3111E+02   1.1400E+02   3.2254E-02   1.1886E+02   1.2273E+01  -1.0000E+00   1.2273E+01   2.8660E+00   1.2273E+01   3.0440E+00   1.2273E+01  -1.0000E+00
4     99           0.0          0.0          10.0         0.0          0.0          0.0          -15.0        -15.0
5
0.001   3.8084E-04  -4.1151E+01   4.1260E+01  -4.6929E+01   6.9055E+01   1.3496E+02   3.5974E+00  -3.8733E+01   3.4528E+00  -1.0000E+00   3.4528E+00   4.8003E+00   3.4528E+00   2.8660E+00   3.4528E+00   7.3697E+01
 0.01   1.2163E-04  -5.3921E+00   4.6820E+01  -4.9715E+01   6.7341E+01   1.3456E+02   2.1678E+00  -2.5310E+01   3.3671E+00  -1.0000E+00   3.3671E+00   4.1240E+00   3.3671E+00   2.8660E+00   3.3671E+00  -1.0000E+00
  0.1   5.4077E-04  -1.2769E+02   7.9533E+01  -5.9998E+01   8.5324E+01   1.2447E+02   5.8570E-01   6.5642E+00   4.2662E+00  -1.0000E+00   4.2662E+00   3.0749E+00   4.2662E+00   2.8660E+00   4.2662E+00  -1.0000E+00
