MT    36
    1    1     -13.000000     -13.000000
  5
   0.001   1.635E-03  -1.685E-03   1.204E-03  -1.270E-03  -2.965E-03   2.801E-03   4.431E-03  -4.328E-03   1.336E-04   1.336E-04   1.336E-04   1.336E-04   1.336E-04   1.336E-04   1.336E-04   1.336E-04
    0.01   5.212E-03  -5.591E-03   3.879E-03  -4.399E-03  -9.113E-03   7.669E-03   1.381E-02  -1.283E-02   4.179E-04   4.179E-04   4.179E-04   4.179E-04   4.179E-04   4.179E-04   4.179E-04   4.179E-04
     0.1   1.751E-02  -2.055E-02   1.385E-02  -1.673E-02  -2.337E-02   2.326E-02   3.957E-02  -4.252E-02   1.338E-03   1.338E-03   1.338E-03   1.338E-03   1.338E-03   1.338E-03   1.338E-03   1.338E-03
       1   6.252E-02  -6.162E-02   5.017E-02  -4.941E-02  -7.709E-02   7.634E-02   1.353E-01  -1.337E-01   4.370E-03   4.370E-03   4.370E-03   4.370E-03   4.370E-03   4.370E-03   4.370E-03   4.370E-03
      10   1.951E-01  -2.009E-01   1.565E-01  -1.611E-01  -2.411E-01   2.482E-01   4.228E-01  -4.352E-01   1.394E-02   1.394E-02   1.394E-02   1.394E-02   1.394E-02   1.394E-02   1.394E-02   1.394E-02
    2    2     -13.000000      -9.000000
  5
   0.001  -7.442E-05   7.361E-05   7.090E-05  -6.789E-05  -5.385E-05   5.391E-05   3.507E-05  -3.299E-05   4.324E-06   4.324E-06   4.324E-06   4.324E-06   4.324E-06   4.324E-06   4.324E-06   4.324E-06
    0.01  -2.328E-04   2.241E-04   2.189E-04  -1.919E-04  -1.693E-04   1.684E-04   1.075E-04  -8.918E-05   1.318E-05   1.318E-05   1.318E-05   1.318E-05   1.318E-05   1.318E-05   1.318E-05   1.318E-05
     0.1  -6.852E-04   7.845E-04   5.831E-04  -6.174E-04  -5.163E-04   6.044E-04   2.694E-04  -2.722E-04   4.108E-05   4.108E-05   4.108E-05   4.108E-05   4.108E-05   4.108E-05   4.108E-05   4.108E-05
       1  -2.486E-03   2.444E-03   2.019E-03  -1.992E-03  -1.895E-03   1.862E-03   9.119E-04  -9.006E-04   1.373E-04   1.373E-04   1.373E-04   1.373E-04   1.373E-04   1.373E-04   1.373E-04   1.373E-04
      10  -7.723E-03   7.950E-03   6.289E-03  -6.475E-03  -5.886E-03   6.060E-03   2.842E-03  -2.926E-03   4.366E-04   4.366E-04   4.366E-04   4.366E-04   4.366E-04   4.366E-04   4.366E-04   4.366E-04
    3    3     -13.000000      -5.000000
  5
   0.001   2.519E-06  -5.454E-05   1.746E-03  -1.722E-03  -2.007E-04   2.127E-04  -2.001E-05   2.431E-05   4.234E-05   4.234E-05   4.234E-05   4.234E-05   4.234E-05   4.234E-05   4.234E-05   4.234E-05
    0.01   7.638E-05  -5.080E-04   5.455E-03  -5.202E-03  -6.458E-04   7.396E-04  -6.877E-05   1.039E-04   1.360E-04   1.360E-04   1.360E-04   1.360E-04   1.360E-04   1.360E-04   1.360E-04   1.360E-04
