MT 36
1 31 -13.0  -13.0
5
   0.001  2.6032E-05 -1.7020E-05  6.4593E-04 -6.4521E-04 -5.8636E-04  5.7655E-04 -1.4607E-04  1.3669E-04  4.3323E-05  4.3323E-05  4.3323E-05  4.3323E-05  4.3323E-05  4.3323E-05  4.3323E-05  4.3323E-05
    0.01  6.8156E-05 -7.7918E-07  2.0270E-03 -2.0612E-03 -1.8259E-03  1.7799E-03 -4.5252E-04  3.7885E-04  1.3575E-04  1.3575E-04  1.3575E-04  1.3575E-04  1.3575E-04  1.3575E-04  1.3575E-04  1.3575E-04
     0.1 -3.6520E-05  1.6918E-04  6.3090E-03 -6.9868E-03 -5.3124E-03  5.8806E-03 -1.3259E-03  8.0682E-04  4.3186E-04  4.3186E-04  4.3186E-04  4.3186E-04  4.3186E-04  4.3186E-04  4.3186E-04  4.3186E-04
       1 -3.2862E-04 -6.5079E-06  2.2018E-02 -2.5047E-02 -1.9224E-02  2.2299E-02 -2.8812E-03  7.3577E-04  1.5667E-03  1.5667E-03  1.5667E-03  1.5667E-03  1.5667E-03  1.5667E-03  1.5667E-03  1.5667E-03
      10  4.1877E-04 -1.6936E-03  6.8393E-02 -9.2748E-02 -6.4839E-02  7.3142E-02 -2.9106E-03  1.2211E-03  5.3065E-03  5.3065E-03  5.3065E-03  5.3065E-03  5.3065E-03  5.3065E-03  5.3065E-03  5.3065E-03
2 32 -13.0  -9.0
5
   0.001  5.5485E-05 -4.5123E-05  4.7888E-04 -4.7922E-04 -6.3851E-04  6.2777E-04 -2.0744E-04  1.9445E-04  3.8943E-05  3.8943E-05  3.8943E-05  3.8943E-05  3.8943E-05  3.8943E-05  3.8943E-05  3.8943E-05
    0.01  1.6372E-04 -7.9176E-05  1.5000E-03 -1.5387E-03 -1.9843E-03  1.9406E-03 -6.4243E-04  5.4102E-04  1.2211E-04  1.2211E-04  1.2211E-04  1.2211E-04  1.2211E-04  1.2211E-04  1.2211E-04  1.2211E-04
     0.1  2.5707E-04  8.5194E-05  4.6020E-03 -5.3488E-03 -5.6802E-03  6.5345E-03 -1.8508E-03  1.1922E-03  3.9081E-04  3.9081E-04  3.9081E-04  3.9081E-04  3.9081E-04  3.9081E-04  3.9081E-04  3.9081E-04
       1 -2.9310E-04  1.7001E-04  1.6110E-02 -2.1866E-02 -2.1301E-02  2.6802E-02 -4.3552E-03  1.9825E-03  1.5247E-03  1.5247E-03  1.5247E-03  1.5247E-03  1.5247E-03  1.5247E-03  1.5247E-03  1.5247E-03
      10 -2.0796E-03 -4.4678E-03  6.0415E-02 -8.8805E-02 -7.6598E-02  8.7597E-02 -6.4389E-03 -5.4107E-04  5.5898E-03  5.5898E-03  5.5898E-03  5.5898E-03  5.5898E-03  5.5898E-03  5.5898E-03  5.5898E-03
3 33 -13.0  -5.0
5
   0.001  1.1857E-05 -7.3971E-06  3.4686E-04 -3.5304E-04 -6.4825E-04  6.4323E-04 -1.0956E-04  1.0319E-04  3.3614E-05  3.3614E-05  3.3614E-05  3.3614E-05  3.3614E-05  3.3614E-05  3.3614E-05  3.3614E-05
    0.01  3.3577E-05  4.8482E-06  1.0877E-03 -1.1730E-03 -2.0181E-03  2.0278E-03 -3.3728E-04  2.9287E-04  1.0696E-04  1.0696E-04  1.0696E-04  1.0696E-04  1.0696E-04  1.0696E-04  1.0696E-04  1.0696E-04
     0.1 -1.2627E-05  1.9564E-04  3.3576E-03 -4.4302E-03 -5.8471E-03  7.1123E-03 -9.5563E-04  7.2390E-04  3.5771E-04  3.5771E-04  3.5771E-04  3.5771E-04  3.5771E-04  3.5771E-04  3.5771E-04  3.5771E-04
       1 -8.0683E-04  1.6788E-04  1.2768E-02 -2.0950E-02 -2.3055E-02  3.0445E-02 -2.4045E-03  2.4650E-03  1.5305E-03  1.5305E-03  1.5305E-03  1.5305E-03  1.5305E-03  1.5305E-03  1.5305E-03  1.5305E-03
      10  9.2034E-04 -3.6077E-03  6.1226E-02 -8.6857E-02 -8.9057E-02  9.9116E-02 -5.9952E-03  9.4775E-03  5.9498E-03  5.9498E-03  5.9498E-03  5.9498E-03  5.9498E-03  5.9498E-03  5.9498E-03  5.9498E-03
4 34 -13.0  5.0
5
   0.001 -1.0657E-05  7.4311E-06  3.6072E-04 -3.6721E-04 -6.4974E-04  6.4442E-04  1.0881E-04 -1.0341E-04  3.4317E-05  3.4317E-05  3.4317E-05  3.4317E-05  3.4317E-05  3.4317E-05  3.4317E-05  3.4317E-05
    0.01 -3.2060E-05  7.7311E-07  1.1310E-03 -1.2207E-03 -2.0251E-03  2.0287E-03  3.4172E-04 -2.9184E-04  1.0920E-04  1.0920E-04  1.0920E-04  1.0920E-04  1.0920E-04  1.0920E-04  1.0920E-04  1.0920E-04
     0.1  1.3506E-05 -1.5019E-04  3.5017E-03 -4.6103E-03 -5.8991E-03  7.0334E-03  9.6061E-04 -6.7486E-04  3.6450E-04  3.6450E-04  3.6450E-04  3.6450E-04  3.6450E-04  3.6450E-04  3.6450E-04  3.6450E-04
       1  8.2571E-04  3.9273E-04  1.3199E-02 -2.1639E-02 -2.3379E-02  2.8976E-02  2.4304E-03 -1.6755E-03  1.5360E-03  1.5360E-03  1.5360E-03  1.5360E-03  1.5360E-03  1.5360E-03  1.5360E-03  1.5360E-03
      10 -4.0358E-03  8.1157E-03  6.0866E-02 -9.2827E-02 -8.7515E-02  8.4835E-02  4.0372E-03 -2.2241E-03  5.8158E-03  5.8158E-03  5.8158E-03  5.8158E-03  5.8158E-03  5.8158E-03  5.8158E-03  5.8158E-03
5 35 -13.0  9.0
5
   0.001 -6.2461E-05  5.4172E-05  4.8334E-04 -4.8417E-04 -6.2872E-04  6.2016E-04  2.1341E-04 -2.0367E-04  3.8864E-05  3.8864E-05  3.8864E-05  3.8864E-05  3.8864E-05  3.8864E-05  3.8864E-05  3.8864E-05
