MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         3,    1.000000e-01,   -2.126739e-05,   -5.691314e-04,    5.915263e-03,   -7.455717e-03,   -5.664764e-03,    7.565490e-03,    4.351992e-05,    2.069808e-04,   -8.833487e-02,   -2.106588e-01,   -1.233976e+00,    9.277960e-02,    1.901451e+00,    1.363798e-01,    2.323826e-01,    6.511555e-02,   -6.136700e-05,   -6.647600e-04,    5.355100e-03,   -7.413600e-03,   -4.801600e-03,    7.627400e-03,    1.490100e-04,    2.365400e-04,    4.539500e-04,    4.539500e-04,    4.539500e-04,    4.539500e-04,    4.539500e-04,    4.539500e-04,    4.539500e-04,    4.539500e-04,
         3,    1.000000e+00,   -5.336477e-05,   -5.162024e-03,    2.045419e-02,   -3.119915e-02,   -1.925571e-02,    3.190983e-02,   -3.739352e-04,    1.040785e-03,   -1.370442e-03,   -7.469449e-03,    9.610076e-02,   -1.488431e-02,   -1.449898e-01,    3.295383e-03,    4.413190e-02,   -1.693386e-02,   -5.592900e-05,   -5.176000e-03,    2.063400e-02,   -3.122700e-02,   -1.952700e-02,    3.191600e-02,   -2.913600e-04,    1.009100e-03,    1.871100e-03,    1.871100e-03,    1.871100e-03,    1.871100e-03,    1.871100e-03,    1.871100e-03,    1.871100e-03,    1.871100e-03,
         4,    1.000000e-03,    3.307788e-05,   -2.839090e-05,    5.751542e-04,   -6.196537e-04,   -4.907207e-04,    5.512637e-04,   -2.334025e-05,    1.950966e-05,    9.475441e-01,   -6.609453e-01,    1.124575e+00,    2.410249e-01,    8.061731e-01,   -1.682931e+00,   -4.854959e-01,    3.301263e-01,    6.922100e-05,   -5.360200e-05,    6.180500e-04,   -6.104600e-04,   -4.599700e-04,    4.870700e-04,   -4.185900e-05,    3.210200e-05,    3.814400e-05,    3.814400e-05,    3.814400e-05,    3.814400e-05,    3.814400e-05,    3.814400e-05,    3.814400e-05,    3.814400e-05,
         4,    1.000000e-02,    1.038848e-04,   -3.143138e-05,    1.926735e-03,   -1.988214e-03,   -1.677120e-03,    1.900310e-03,   -6.920112e-05,    2.020132e-05,    7.528959e-01,   -2.141522e-01,   -4.676607e-02,    1.016096e+00,    1.678244e+00,   -1.637397e+00,   -3.695277e-01,    1.210101e-01,    1.962200e-04,   -5.769500e-05,    1.921000e-03,   -1.863600e-03,   -1.471300e-03,    1.699500e-03,   -1.145200e-04,    3.504200e-05,    1.226400e-04,    1.226400e-04,    1.226400e-04,    1.226400e-04,    1.226400e-04,    1.226400e-04,    1.226400e-04,    1.226400e-04,
         4,    1.000000e-01,    4.239834e-05,   -4.002090e-06,    5.946273e-03,   -7.040961e-03,   -5.762774e-03,    7.099185e-03,    1.193396e-05,    6.530843e-05,    1.652336e-01,    2.448470e-01,   -1.214369e+00,    1.070470e-01,    1.826476e+00,    2.265884e-01,   -9.638779e-02,   -8.236797e-02,    1.150400e-04,    1.036400e-04,    5.412400e-03,   -6.993900e-03,   -4.959800e-03,    7.198800e-03,   -3.044100e-05,    2.909700e-05,    4.396300e-04,    4.396300e-04,    4.396300e-04,    4.396300e-04,    4.396300e-04,    4.396300e-04,    4.396300e-04,    4.396300e-04,
         4,    1.000000e+00,   -1.064655e-04,   -7.320556e-04,    2.016625e-02,   -2.699486e-02,   -2.033037e-02,    2.629283e-02,    2.224306e-04,    1.425581e-03,   -1.118927e-02,    1.599702e-03,    1.011110e-01,   -1.735742e-02,   -1.195076e-01,   -2.134141e-02,   -4.150621e-02,    7.516472e-03,   -1.252500e-04,   -7.293700e-04,    2.033600e-02,   -2.702400e-02,   -2.053100e-02,    2.625700e-02,    1.527500e-04,    1.438200e-03,    1.678800e-03,    1.678800e-03,    1.678800e-03,    1.678800e-03,    1.678800e-03,    1.678800e-03,    1.678800e-03,    1.678800e-03,
         5,    1.000000e-03,    4.922110e-05,   -4.254709e-05,    5.600029e-04,   -6.088307e-04,   -5.303315e-04,    5.870284e-04,   -3.604209e-05,    2.847563e-05,    1.235305e+00,   -8.788599e-01,    7.045265e-01,    4.778249e-01,   -1.595639e-01,   -8.778967e-01,   -8.624249e-01,    5.936351e-01,    9.867900e-05,   -7.773400e-05,    5.882100e-04,   -5.897000e-04,   -5.367200e-04,    5.518800e-04,   -7.057100e-05,    5.224300e-05,    4.003700e-05,    4.003700e-05,    4.003700e-05,    4.003700e-05,    4.003700e-05,    4.003700e-05,    4.003700e-05,    4.003700e-05,
         5,    1.000000e-02,    1.534136e-04,   -5.355332e-05,    1.882839e-03,   -1.990379e-03,   -1.799156e-03,    1.972787e-03,   -1.082700e-04,    1.433528e-05,    1.005062e+00,   -3.424217e-01,   -3.409218e-01,    1.018551e+00,    7.991208e-01,   -1.138417e+00,   -6.809957e-01,    2.060819e-01,    2.817700e-04,   -9.728400e-05,    1.839300e-03,   -1.860300e-03,   -1.697100e-03,    1.827400e-03,   -1.952400e-04,    4.065400e-05,    1.277100e-04,    1.277100e-04,    1.277100e-04,    1.277100e-04,    1.277100e-04,    1.277100e-04,    1.277100e-04,    1.277100e-04,
         5,    1.000000e-01,    7.693174e-05,   -6.349594e-05,    5.955267e-03,   -7.158583e-03,   -5.942433e-03,    7.236313e-03,   -9.948866e-06,   -1.015565e-04,    3.017289e-01,    2.712820e-01,   -1.186669e+00,    9.724178e-03,    1.299743e+00,    1.395226e-01,   -1.623813e-01,   -1.860615e-01,    2.129300e-04,    5.877900e-05,    5.420400e-03,   -7.154200e-03,   -5.356600e-03,    7.299200e-03,   -8.313900e-05,   -1.854200e-04,    4.507300e-04,    4.507300e-04,    4.507300e-04,    4.507300e-04,    4.507300e-04,    4.507300e-04,    4.507300e-04,    4.507300e-04,
         5,    1.000000e+00,    1.018943e-04,   -1.396144e-03,    2.017226e-02,   -2.757765e-02,   -2.013071e-02,    2.794050e-02,   -3.022272e-05,   -3.860242e-04,   -3.365328e-02,   -2.242127e-03,    7.485231e-02,   -1.066694e-02,   -6.063441e-02,    2.819843e-02,   -1.542199e-02,    1.363695e-02,    4.401400e-05,   -1.400000e-03,    2.030100e-02,   -2.759600e-02,   -2.023500e-02,    2.798900e-02,   -5.674700e-05,   -3.625700e-04,    1.719900e-03,    1.719900e-03,    1.719900e-03,    1.719900e-03,    1.719900e-03,    1.719900e-03,    1.719900e-03,    1.719900e-03,
