MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e-03,    6.841488e-07,   -1.718702e-06,    6.305690e-04,   -6.379239e-04,   -6.298670e-04,    6.385048e-04,   -2.363657e-07,    7.463507e-08,   -2.212000e+00,    1.674033e+00,   -5.885973e-01,    7.515159e-01,    5.892509e-01,   -7.580780e-01,    2.458572e+00,   -1.875330e+00,   -9.401600e-05,    6.995000e-05,    6.053700e-04,   -6.057500e-04,   -6.046400e-04,    6.060500e-04,    1.050200e-04,   -8.021200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,
         1,    1.000000e-02,    1.038773e-06,   -9.964269e-06,    2.002661e-03,   -2.061916e-03,   -1.999737e-03,    2.073453e-03,   -2.288505e-07,   -1.989146e-06,   -1.984758e+00,    5.379720e-01,   -7.747118e-01,    1.167457e+00,    7.804791e-01,   -1.176647e+00,    2.216814e+00,   -6.440768e-01,   -2.660700e-04,    6.243600e-05,    1.898400e-03,   -1.904800e-03,   -1.894700e-03,    1.915100e-03,    2.981100e-04,   -8.866900e-05,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,
         1,    1.000000e-01,   -1.934914e-05,   -1.166398e-04,    6.353706e-03,   -6.913228e-03,   -6.347294e-03,    7.056465e-03,    3.943917e-05,    6.963776e-06,   -3.560969e-01,   -4.643820e-01,   -1.414612e+00,   -1.792403e-01,    1.429566e+00,    1.670444e-01,    4.622469e-01,    4.909164e-01,   -1.810100e-04,   -3.274600e-04,    5.711500e-03,   -6.994600e-03,   -5.698300e-03,    7.132300e-03,    2.492900e-04,    2.298300e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,
         1,    1.000000e+00,    9.916744e-05,   -1.213906e-03,    2.018485e-02,   -2.519199e-02,   -2.022968e-02,    2.699705e-02,    4.161755e-04,    7.581580e-04,    7.262293e-03,    1.173203e-02,    8.714554e-02,    8.460095e-03,   -9.148366e-02,   -6.074494e-03,   -1.707004e-02,   -7.930619e-03,    1.111800e-04,   -1.194500e-03,    2.032900e-02,   -2.517800e-02,   -2.038100e-02,    2.698700e-02,    3.879400e-04,    7.450400e-04,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,
         2,    1.000000e-03,    7.594402e-07,   -3.500701e-06,    6.305580e-04,   -6.408170e-04,   -6.298734e-04,    6.417522e-04,   -2.802153e-07,    3.287569e-06,   -2.386640e+00,    1.828182e+00,   -7.175061e-01,    9.793176e-01,    2.550486e+00,   -2.389421e+00,    2.388576e+00,   -1.841345e+00,   -9.513100e-05,    6.995200e-05,    6.017300e-04,   -6.014700e-04,   -5.274000e-04,    5.457500e-04,    9.568800e-05,   -7.069400e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,
         2,    1.000000e-02,    1.958041e-06,   -2.583513e-05,    2.001859e-03,   -2.091374e-03,   -1.999447e-03,    2.105424e-03,   -1.556847e-07,    2.971012e-05,   -2.118337e+00,    6.426157e-01,   -9.574034e-01,    1.606901e+00,    2.589327e+00,   -2.104835e+00,    2.120966e+00,   -6.806129e-01,   -2.701000e-04,    5.669600e-05,    1.878900e-03,   -1.885000e-03,   -1.666900e-03,    1.835100e-03,    2.722400e-04,   -5.770100e-05,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,
         2,    1.000000e-01,   -2.138508e-05,   -2.728972e-04,    6.327201e-03,   -7.230214e-03,   -6.324246e-03,    7.395198e-03,    2.982840e-05,    3.229245e-04,   -4.677382e-01,   -4.481180e-01,   -1.941616e+00,   -1.502915e-03,    2.316712e+00,    3.291955e-01,    5.366156e-01,    3.888168e-01,   -2.348000e-04,   -4.773600e-04,    5.441300e-03,   -7.230900e-03,   -5.267200e-03,    7.545400e-03,    2.746700e-04,    5.003300e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,
         2,    1.000000e+00,   -1.696397e-04,   -2.858221e-03,    1.978176e-02,   -2.900926e-02,   -1.967428e-02,    3.085436e-02,    4.142929e-04,    3.689589e-03,    1.789006e-02,    1.055503e-02,    1.444117e-01,   -3.203846e-02,   -1.635419e-01,    2.698828e-02,   -2.864599e-02,    7.608141e-03,   -1.374000e-04,   -2.839200e-03,    2.004200e-02,   -2.906700e-02,   -1.996900e-02,    3.090300e-02,    3.626700e-04,    3.703300e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,
         3,    1.000000e-03,    8.409079e-07,   -6.326352e-06,    6.305731e-04,   -6.431598e-04,   -6.298822e-04,    6.420684e-04,   -3.524925e-07,    1.419037e-06,   -1.291715e+00,    9.577195e-01,   -6.106121e-01,    9.812576e-01,    4.817218e+00,   -4.286965e+00,    1.559336e+00,   -1.198782e+00,   -4.769400e-05,    2.965900e-05,    6.076300e-04,   -6.062900e-04,   -4.488800e-04,    4.809900e-04,    5.823800e-05,   -4.362400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,
         3,    1.000000e-02,    3.092738e-06,   -5.211007e-05,    2.002160e-03,   -2.114781e-03,   -1.999337e-03,    2.107965e-03,   -5.922012e-07,    1.009066e-05,   -1.105612e+00,    2.452441e-01,   -9.035663e-01,    1.829688e+00,    4.610466e+00,   -3.181306e+00,    1.355772e+00,   -4.282744e-01,   -1.321900e-04,   -2.210200e-05,    1.891600e-03,   -1.890900e-03,   -1.435200e-03,    1.718700e-03,    1.653000e-04,   -4.231300e-05,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,
