MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e-03,   -8.009158e-05,    9.953630e-05,    6.169475e-04,   -6.029794e-04,   -6.169475e-04,    6.029794e-04,    8.009158e-05,   -9.953632e-05,    1.624918e+00,   -3.675537e+00,   -5.920998e-01,   -2.002148e-01,   -5.920997e-01,   -2.002148e-01,    1.624918e+00,   -3.675540e+00,   -9.563080e-05,    7.278420e-05,    5.992080e-04,   -5.970030e-04,   -5.992080e-04,    5.970030e-04,    9.563080e-05,   -7.278420e-05,   -9.563080e-06,    7.278420e-06,    2.996040e-05,   -2.985015e-05,   -2.996040e-05,    2.985015e-05,    9.563080e-06,   -7.278420e-06,
         1,    1.000000e-02,   -3.011518e-04,    7.093860e-05,    1.939420e-03,   -1.810855e-03,   -1.939420e-03,    1.810855e-03,    3.011517e-04,   -7.093859e-05,   -1.134387e+00,    7.789673e-01,   -5.979415e-01,    4.133433e-01,   -5.979417e-01,    4.133435e-01,   -1.134386e+00,    7.789686e-01,   -2.704700e-04,    7.693130e-05,    1.883120e-03,   -1.849070e-03,   -1.883120e-03,    1.849070e-03,    2.704700e-04,   -7.693130e-05,   -2.704700e-05,    7.693130e-06,    9.415600e-05,   -9.245350e-05,   -9.415600e-05,    9.245350e-05,    2.704700e-05,   -7.693130e-06,
         1,    1.000000e-01,   -1.507913e-04,   -2.481533e-04,    5.712265e-03,   -6.231415e-03,   -5.712265e-03,    6.231415e-03,    1.507913e-04,    2.481533e-04,    1.398787e+00,   -1.484060e+00,    9.001123e-02,    5.165996e-01,    9.001124e-02,    5.165995e-01,    1.398789e+00,   -1.484061e+00,   -1.753140e-04,   -2.160850e-04,    5.738090e-03,   -6.396640e-03,   -5.738090e-03,    6.396640e-03,    1.753140e-04,    2.160850e-04,   -1.753140e-05,   -2.160850e-05,    2.869045e-04,   -3.198320e-04,   -2.869045e-04,    3.198320e-04,    1.753140e-05,    2.160850e-05,
         1,    1.000000e+00,    1.583054e-05,    1.915214e-05,    1.973973e-02,   -1.973144e-02,   -1.973973e-02,    1.973144e-02,   -1.583058e-05,   -1.915213e-05,    5.781835e-01,    3.781307e-01,    2.331918e-01,   -1.810159e-02,    2.331918e-01,   -1.810162e-02,    5.781568e-01,    3.781325e-01,    1.680200e-05,    1.990480e-05,    1.997260e-02,   -1.971360e-02,   -1.997260e-02,    1.971360e-02,   -1.680200e-05,   -1.990480e-05,    1.680200e-06,    1.990480e-06,    9.986300e-04,   -9.856800e-04,   -9.986300e-04,    9.856800e-04,   -1.680200e-06,   -1.990480e-06,
         1,    1.000000e+01,    5.802686e-05,   -3.057247e-05,    6.135333e-02,   -6.265148e-02,   -6.135333e-02,    6.265148e-02,   -5.802689e-05,    3.057246e-05,   -5.805827e-09,    3.053997e-09,    3.259507e-01,    4.844423e-01,    3.259507e-01,    4.844423e-01,    5.805831e-09,   -3.053995e-09,   -2.561040e-08,   -3.555770e-08,    6.236980e-02,   -6.420670e-02,   -6.236980e-02,    6.420670e-02,    2.561040e-08,    3.555770e-08,    9.999000e+03,    9.999000e+03,    3.118490e-03,   -3.210335e-03,   -3.118490e-03,    3.210335e-03,    9.999000e+03,    9.999000e+03,
         2,    1.000000e-03,   -6.996258e-05,    9.222770e-05,    6.163641e-04,   -5.994649e-04,   -5.234827e-04,    5.334025e-04,    6.131463e-05,   -7.820058e-05,    2.369303e+00,   -3.156459e+00,   -3.340976e-01,    1.303481e-03,    1.075898e-01,    1.477359e-01,    2.224275e+00,   -3.021321e+00,   -9.168570e-05,    7.010070e-05,    6.062370e-04,   -5.995040e-04,   -5.263140e-04,    5.373720e-04,    7.885390e-05,   -6.005580e-05,   -9.168570e-06,    7.010070e-06,    3.031185e-05,   -2.997520e-05,   -2.631570e-05,    2.686860e-05,    7.885390e-06,   -6.005580e-06,
         2,    1.000000e-02,   -2.717484e-04,    6.842572e-05,    1.927962e-03,   -1.791052e-03,   -1.680617e-03,    1.726770e-03,    2.342540e-04,   -5.916658e-05,   -4.662743e-01,    1.154919e+00,   -3.206482e-01,    3.652501e-01,   -1.407725e-01,    2.306923e-01,   -5.243907e-01,    7.634337e-01,   -2.596420e-04,    7.736020e-05,    1.897540e-03,   -1.824370e-03,   -1.668870e-03,    1.746920e-03,    2.225820e-04,   -6.405690e-05,   -2.596420e-05,    7.736020e-06,    9.487700e-05,   -9.121850e-05,   -8.344350e-05,    8.734600e-05,    2.225820e-05,   -6.405690e-06,
         2,    1.000000e-01,   -1.656769e-04,   -2.121933e-04,    5.633306e-03,   -6.223624e-03,   -5.397172e-03,    6.432533e-03,    1.355981e-04,    1.841558e-04,    1.266373e+00,   -3.022467e-01,   -1.370365e-01,    3.677038e-01,   -6.723076e-02,    2.186979e-01,    1.130193e+00,   -3.942389e-01,   -1.897000e-04,   -2.059680e-04,    5.594970e-03,   -6.340190e-03,   -5.379090e-03,    6.503650e-03,    1.528760e-04,    1.771710e-04,   -1.897000e-05,   -2.059680e-05,    2.797485e-04,   -3.170095e-04,   -2.689545e-04,    3.251825e-04,    1.528760e-05,    1.771710e-05,
         2,    1.000000e+00,    1.961444e-05,    1.890618e-05,    1.975400e-02,   -2.004014e-02,   -2.011917e-02,    2.041197e-02,   -1.758389e-05,   -1.633587e-05,    8.548458e-01,    1.114807e+00,    2.902529e-01,   -3.139721e-01,   -2.853662e-02,   -7.051555e-01,   -8.970352e-01,    1.641502e-01,    2.144790e-05,    2.127830e-05,    2.004490e-02,   -1.973040e-02,   -2.009050e-02,    1.971680e-02,   -1.613640e-05,   -1.660850e-05,    2.144790e-06,    2.127830e-06,    1.002245e-03,   -9.865200e-04,   -1.004525e-03,    9.858400e-04,   -1.613640e-06,   -1.660850e-06,
         2,    1.000000e+01,   -1.852483e-05,    1.195092e-05,    6.205527e-02,   -6.406581e-02,   -6.285594e-02,    6.429008e-02,    1.454318e-05,   -6.957562e-06,    1.848693e-09,   -1.200219e-09,    1.007012e-01,    4.385456e-02,   -1.561487e-01,   -2.600437e-02,   -1.451463e-09,    6.991318e-10,   -3.974550e-08,   -5.006970e-08,    6.236930e-02,   -6.420660e-02,   -6.236900e-02,    6.420660e-02,    2.999470e-08,    3.305630e-08,    9.999000e+03,    9.999000e+03,    3.118465e-03,   -3.210330e-03,   -3.118450e-03,    3.210330e-03,    9.999000e+03,    9.999000e+03,
