MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e-03,   -7.333675e-05,    8.766332e-05,    7.049733e-04,   -5.853455e-04,   -7.049733e-04,    5.853456e-04,    7.333673e-05,   -8.766332e-05,    2.331262e+00,   -2.044279e+00,   -3.530170e+00,    3.905332e-01,   -3.530171e+00,    3.905305e-01,    2.331264e+00,   -2.044278e+00,   -9.563080e-05,    7.278420e-05,    5.992080e-04,   -5.970030e-04,   -5.992080e-04,    5.970030e-04,    9.563080e-05,   -7.278420e-05,   -9.563080e-06,    7.278420e-06,    2.996040e-05,   -2.985015e-05,   -2.996040e-05,    2.985015e-05,    9.563080e-06,   -7.278420e-06,
         1,    1.000000e-02,   -2.970990e-04,    5.094516e-05,    2.055302e-03,   -1.842942e-03,   -2.055302e-03,    1.842942e-03,    2.970989e-04,   -5.094516e-05,   -9.845448e-01,    3.377838e+00,   -1.828691e+00,    6.628425e-02,   -1.828692e+00,    6.628384e-02,   -9.845433e-01,    3.377837e+00,   -2.704700e-04,    7.693130e-05,    1.883120e-03,   -1.849070e-03,   -1.883120e-03,    1.849070e-03,    2.704700e-04,   -7.693130e-05,   -2.704700e-05,    7.693130e-06,    9.415600e-05,   -9.245350e-05,   -9.415600e-05,    9.245350e-05,    2.704700e-05,   -7.693130e-06,
         1,    1.000000e-01,   -8.186006e-05,   -2.015568e-04,    5.851540e-03,   -6.318763e-03,   -5.851540e-03,    6.318763e-03,    8.186005e-05,    2.015568e-04,    5.330661e+00,    6.723355e-01,   -3.954278e-01,    2.434949e-01,   -3.954284e-01,    2.434948e-01,    5.330661e+00,    6.723356e-01,   -1.753140e-04,   -2.160850e-04,    5.738090e-03,   -6.396640e-03,   -5.738090e-03,    6.396640e-03,    1.753140e-04,    2.160850e-04,   -1.753140e-05,   -2.160850e-05,    2.869045e-04,   -3.198320e-04,   -2.869045e-04,    3.198320e-04,    1.753140e-05,    2.160850e-05,
         1,    1.000000e+00,    1.084842e-05,    2.369598e-05,    2.001310e-02,   -1.987092e-02,   -2.001310e-02,    1.987092e-02,   -1.084839e-05,   -2.369598e-05,    3.543376e+00,   -1.904658e+00,   -4.055298e-02,   -1.596083e-01,   -4.055315e-02,   -1.596084e-01,    3.543395e+00,   -1.904655e+00,    1.680200e-05,    1.990480e-05,    1.997260e-02,   -1.971360e-02,   -1.997260e-02,    1.971360e-02,   -1.680200e-05,   -1.990480e-05,    1.680200e-06,    1.990480e-06,    9.986300e-04,   -9.856800e-04,   -9.986300e-04,    9.856800e-04,   -1.680200e-06,   -1.990480e-06,
         1,    1.000000e+01,   -1.830644e-05,    3.685452e-05,    6.202982e-02,   -6.343174e-02,   -6.202982e-02,    6.343174e-02,    1.830640e-05,   -3.685446e-05,    1.828266e-09,   -3.689377e-09,    1.090206e-01,    2.413956e-01,    1.090205e-01,    2.413957e-01,   -1.828261e-09,    3.689371e-09,   -2.561040e-08,   -3.555770e-08,    6.236980e-02,   -6.420670e-02,   -6.236980e-02,    6.420670e-02,    2.561040e-08,    3.555770e-08,    9.999000e+03,    9.999000e+03,    3.118490e-03,   -3.210335e-03,   -3.118490e-03,    3.210335e-03,    9.999000e+03,    9.999000e+03,
         2,    1.000000e-03,   -6.259808e-05,    8.155238e-05,    7.010752e-04,   -5.804428e-04,   -5.732174e-04,    5.102985e-04,    6.376072e-05,   -6.830684e-05,    3.172536e+00,   -1.633605e+00,   -3.128750e+00,    6.358983e-01,   -1.782335e+00,    1.007625e+00,    1.914068e+00,   -1.373895e+00,   -9.168570e-05,    7.010070e-05,    6.062370e-04,   -5.995040e-04,   -5.263140e-04,    5.373720e-04,    7.885390e-05,   -6.005580e-05,   -9.168570e-06,    7.010070e-06,    3.031185e-05,   -2.997520e-05,   -2.631570e-05,    2.686860e-05,    7.885390e-06,   -6.005580e-06,
         2,    1.000000e-02,   -2.694785e-04,    5.269860e-05,    2.036975e-03,   -1.815620e-03,   -1.732495e-03,    1.759744e-03,    2.394735e-04,   -4.242693e-05,   -3.788484e-01,    3.187893e+00,   -1.469638e+00,    9.592594e-02,   -7.624884e-01,   -1.468179e-01,   -7.588900e-01,    3.376681e+00,   -2.596420e-04,    7.736020e-05,    1.897540e-03,   -1.824370e-03,   -1.668870e-03,    1.746920e-03,    2.225820e-04,   -6.405690e-05,   -2.596420e-05,    7.736020e-06,    9.487700e-05,   -9.121850e-05,   -8.344350e-05,    8.734600e-05,    2.225820e-05,   -6.405690e-06,
         2,    1.000000e-01,   -9.467167e-05,   -1.809332e-04,    5.761792e-03,   -6.312866e-03,   -5.562568e-03,    6.503035e-03,    7.685354e-05,    1.603672e-04,    5.009401e+00,    1.215471e+00,   -5.963272e-01,    8.619369e-02,   -6.821884e-01,    1.889838e-03,    4.972818e+00,    9.484527e-01,   -1.897000e-04,   -2.059680e-04,    5.594970e-03,   -6.340190e-03,   -5.379090e-03,    6.503650e-03,    1.528760e-04,    1.771710e-04,   -1.897000e-05,   -2.059680e-05,    2.797485e-04,   -3.170095e-04,   -2.689545e-04,    3.251825e-04,    1.528760e-05,    1.771710e-05,
         2,    1.000000e+00,    9.534294e-06,    2.511933e-05,    1.999588e-02,   -2.006771e-02,   -2.019197e-02,    2.018751e-02,   -6.174640e-07,   -1.877337e-05,    5.554672e+00,   -1.805138e+00,    4.890683e-02,   -3.419181e-01,   -1.010082e-01,   -4.774695e-01,    9.617347e+00,   -1.303471e+00,    2.144790e-05,    2.127830e-05,    2.004490e-02,   -1.973040e-02,   -2.009050e-02,    1.971680e-02,   -1.613640e-05,   -1.660850e-05,    2.144790e-06,    2.127830e-06,    1.002245e-03,   -9.865200e-04,   -1.004525e-03,    9.858400e-04,   -1.613640e-06,   -1.660850e-06,
         2,    1.000000e+01,    3.729186e-05,   -1.661749e-05,    6.240591e-02,   -6.394021e-02,   -6.253446e-02,    6.393073e-02,   -6.886570e-05,    4.068414e-05,   -3.733534e-09,    1.656908e-09,   -1.173827e-02,    8.297780e-02,   -5.305699e-02,    8.593202e-02,    6.890258e-09,   -4.065515e-09,   -3.974550e-08,   -5.006970e-08,    6.236930e-02,   -6.420660e-02,   -6.236900e-02,    6.420660e-02,    2.999470e-08,    3.305630e-08,    9.999000e+03,    9.999000e+03,    3.118465e-03,   -3.210330e-03,   -3.118450e-03,    3.210330e-03,    9.999000e+03,    9.999000e+03,
