MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e-03,   -1.023264e-04,    7.963804e-05,    6.141878e-04,   -6.051619e-04,   -6.141878e-04,    6.051619e-04,    1.023264e-04,   -7.963804e-05,   -7.001467e-01,   -9.416661e-01,   -4.999854e-01,   -2.733302e-01,   -4.999851e-01,   -2.733302e-01,   -7.001465e-01,   -9.416664e-01,   -9.563080e-05,    7.278420e-05,    5.992080e-04,   -5.970030e-04,   -5.992080e-04,    5.970030e-04,    9.563080e-05,   -7.278420e-05,   -9.563080e-06,    7.278420e-06,    2.996040e-05,   -2.985015e-05,   -2.996040e-05,    2.985015e-05,    9.563080e-06,   -7.278420e-06,
         1,    1.000000e-02,   -2.841791e-04,    7.460318e-05,    1.928331e-03,   -1.826087e-03,   -1.928331e-03,    1.826087e-03,    2.841791e-04,   -7.460318e-05,   -5.068604e-01,    3.026227e-01,   -4.801719e-01,    2.485947e-01,   -4.801720e-01,    2.485947e-01,   -5.068603e-01,    3.026231e-01,   -2.704700e-04,    7.693130e-05,    1.883120e-03,   -1.849070e-03,   -1.883120e-03,    1.849070e-03,    2.704700e-04,   -7.693130e-05,   -2.704700e-05,    7.693130e-06,    9.415600e-05,   -9.245350e-05,   -9.415600e-05,    9.245350e-05,    2.704700e-05,   -7.693130e-06,
         1,    1.000000e-01,   -1.731763e-04,   -2.343560e-04,    5.712224e-03,   -6.203595e-03,   -5.712224e-03,    6.203595e-03,    1.731763e-04,    2.343560e-04,    1.219379e-01,   -8.455482e-01,    9.015580e-02,    6.035812e-01,    9.015582e-02,    6.035812e-01,    1.219381e-01,   -8.455483e-01,   -1.753140e-04,   -2.160850e-04,    5.738090e-03,   -6.396640e-03,   -5.738090e-03,    6.396640e-03,    1.753140e-04,    2.160850e-04,   -1.753140e-05,   -2.160850e-05,    2.869045e-04,   -3.198320e-04,   -2.869045e-04,    3.198320e-04,    1.753140e-05,    2.160850e-05,
         1,    1.000000e+00,    1.680240e-05,    1.989387e-05,    1.975482e-02,   -1.981933e-02,   -1.975482e-02,    1.981933e-02,   -1.680240e-05,   -1.989386e-05,   -2.372654e-04,    5.492928e-03,    2.180755e-01,   -1.072654e-01,    2.180755e-01,   -1.072654e-01,   -2.399091e-04,    5.494990e-03,    1.680200e-05,    1.990480e-05,    1.997260e-02,   -1.971360e-02,   -1.997260e-02,    1.971360e-02,   -1.680200e-05,   -1.990480e-05,    1.680200e-06,    1.990480e-06,    9.986300e-04,   -9.856800e-04,   -9.986300e-04,    9.856800e-04,   -1.680200e-06,   -1.990480e-06,
         1,    1.000000e+01,    3.044697e-05,   -2.307898e-05,    6.148250e-02,   -6.252635e-02,   -6.148250e-02,    6.252635e-02,   -3.044698e-05,    2.307898e-05,   -3.047562e-09,    2.304573e-09,    2.845295e-01,    5.234186e-01,    2.845295e-01,    5.234186e-01,    3.047563e-09,   -2.304573e-09,   -2.561040e-08,   -3.555770e-08,    6.236980e-02,   -6.420670e-02,   -6.236980e-02,    6.420670e-02,    2.561040e-08,    3.555770e-08,    9.999000e+03,    9.999000e+03,    3.118490e-03,   -3.210335e-03,   -3.118490e-03,    3.210335e-03,    9.999000e+03,    9.999000e+03,
         2,    1.000000e-03,   -9.382629e-05,    7.352973e-05,    6.149911e-04,   -6.026483e-04,   -5.206583e-04,    5.343953e-04,    7.904279e-05,   -6.189881e-05,   -2.334704e-01,   -4.891576e-01,   -2.888027e-01,   -1.048973e-01,    2.149189e-01,    1.107866e-01,   -2.395492e-02,   -3.068830e-01,   -9.168570e-05,    7.010070e-05,    6.062370e-04,   -5.995040e-04,   -5.263140e-04,    5.373720e-04,    7.885390e-05,   -6.005580e-05,   -9.168570e-06,    7.010070e-06,    3.031185e-05,   -2.997520e-05,   -2.631570e-05,    2.686860e-05,    7.885390e-06,   -6.005580e-06,
         2,    1.000000e-02,   -2.608524e-04,    7.375374e-05,    1.919654e-03,   -1.802749e-03,   -1.667347e-03,    1.736526e-03,    2.210304e-04,   -6.166850e-05,   -4.661657e-02,    4.661902e-01,   -2.330756e-01,    2.370296e-01,    1.825531e-02,    1.189937e-01,    6.970813e-02,    3.728554e-01,   -2.596420e-04,    7.736020e-05,    1.897540e-03,   -1.824370e-03,   -1.668870e-03,    1.746920e-03,    2.225820e-04,   -6.405690e-05,   -2.596420e-05,    7.736020e-06,    9.487700e-05,   -9.121850e-05,   -8.344350e-05,    8.734600e-05,    2.225820e-05,   -6.405690e-06,
         2,    1.000000e-01,   -1.858001e-04,   -2.026779e-04,    5.617590e-03,   -6.205685e-03,   -5.386808e-03,    6.393765e-03,    1.496267e-04,    1.727678e-04,    2.055821e-01,    1.597383e-01,   -8.085750e-02,    4.242920e-01,   -2.869638e-02,    3.379185e-01,    2.125442e-01,    2.485284e-01,   -1.897000e-04,   -2.059680e-04,    5.594970e-03,   -6.340190e-03,   -5.379090e-03,    6.503650e-03,    1.528760e-04,    1.771710e-04,   -1.897000e-05,   -2.059680e-05,    2.797485e-04,   -3.170095e-04,   -2.689545e-04,    3.251825e-04,    1.528760e-05,    1.771710e-05,
         2,    1.000000e+00,    2.141680e-05,    2.123249e-05,    1.979566e-02,   -2.013635e-02,   -2.007483e-02,    2.048399e-02,   -1.618029e-05,   -1.651100e-05,    1.450114e-02,    2.153045e-02,    2.486784e-01,   -4.114939e-01,    1.559759e-02,   -7.782118e-01,   -2.719894e-02,    5.870278e-02,    2.144790e-05,    2.127830e-05,    2.004490e-02,   -1.973040e-02,   -2.009050e-02,    1.971680e-02,   -1.613640e-05,   -1.660850e-05,    2.144790e-06,    2.127830e-06,    1.002245e-03,   -9.865200e-04,   -1.004525e-03,    9.858400e-04,   -1.613640e-06,   -1.660850e-06,
         2,    1.000000e+01,   -2.482503e-05,    2.925358e-06,    6.219767e-02,   -6.418094e-02,   -6.293292e-02,    6.443245e-02,    1.688780e-05,    7.276568e-06,    2.478777e-09,   -2.975725e-10,    5.503601e-02,    7.992122e-03,   -1.808335e-01,   -7.035144e-02,   -1.685950e-09,   -7.244236e-10,   -3.974550e-08,   -5.006970e-08,    6.236930e-02,   -6.420660e-02,   -6.236900e-02,    6.420660e-02,    2.999470e-08,    3.305630e-08,    9.999000e+03,    9.999000e+03,    3.118465e-03,   -3.210330e-03,   -3.118450e-03,    3.210330e-03,    9.999000e+03,    9.999000e+03,
