MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         3,    1.000000e-03,   -6.201460e-05,    4.669048e-05,    6.197114e-04,   -6.049937e-04,   -4.554431e-04,    4.797373e-04,    4.990834e-05,   -3.749177e-05,    4.785585e-02,    2.138550e-01,   -3.056906e-01,   -1.486577e-01,   -2.713625e-02,   -1.983351e-02,   -8.537202e-01,   -7.243126e-01,   -6.231280e-05,    4.771080e-05,    6.103820e-04,   -6.005300e-04,   -4.548260e-04,    4.792620e-04,    4.598270e-05,   -3.495960e-05,   -6.231280e-06,    4.771080e-06,    3.051910e-05,   -3.002650e-05,   -2.274130e-05,    2.396310e-05,    4.598270e-06,   -3.495960e-06,
         3,    1.000000e-02,   -1.703487e-04,    5.036656e-05,    1.923486e-03,   -1.794806e-03,   -1.474973e-03,    1.624383e-03,    1.387270e-04,   -3.829100e-05,    3.420022e-01,    5.854602e-01,   -1.946059e-01,    1.105276e-01,   -2.071877e-01,    3.112280e-01,   -7.173924e-01,   -4.298494e-01,   -1.763810e-04,    5.349870e-05,    1.904950e-03,   -1.804780e-03,   -1.459850e-03,    1.650060e-03,    1.294410e-04,   -3.671290e-05,   -1.763810e-05,    5.349870e-06,    9.524750e-05,   -9.023900e-05,   -7.299250e-05,    8.250300e-05,    1.294410e-05,   -3.671290e-06,
         3,    1.000000e-01,   -1.303675e-04,   -1.312339e-04,    5.585862e-03,   -6.218936e-03,   -5.010494e-03,    6.216439e-03,    8.879469e-05,    1.135494e-04,    3.937384e-01,    6.135477e-01,   -3.563444e-01,    2.574078e-01,    1.240280e-01,    1.189951e+00,   -7.162741e-02,   -9.338757e-01,   -1.357110e-04,   -1.398120e-04,    5.488080e-03,   -6.300020e-03,   -5.041760e-03,    6.609700e-03,    8.816320e-05,    1.038510e-04,   -1.357110e-05,   -1.398120e-05,    2.744040e-04,   -3.150010e-04,   -2.520880e-04,    3.304850e-04,    8.816320e-06,    1.038510e-05,
         3,    1.000000e+00,    1.536363e-05,    1.566054e-05,    1.993283e-02,   -2.000242e-02,   -1.932741e-02,    2.006183e-02,   -8.668739e-06,   -1.013697e-05,    1.090407e-01,    1.864606e-01,    1.667296e-01,   -2.645429e-01,    8.669784e-01,   -3.493716e-01,   -2.428745e-01,   -3.005442e-01,    1.553300e-05,    1.595810e-05,    2.010040e-02,   -1.974130e-02,   -2.020320e-02,    1.971740e-02,   -8.463190e-06,   -9.841200e-06,    1.553300e-06,    1.595810e-06,    1.005020e-03,   -9.870650e-04,   -1.010160e-03,    9.858700e-04,   -8.463190e-07,   -9.841200e-07,
         3,    1.000000e+01,    1.092385e-05,   -8.044348e-06,    6.158025e-02,   -6.347091e-02,   -6.137345e-02,    6.390307e-02,   -3.447233e-05,    3.668584e-05,   -1.093062e-09,    8.020413e-10,    2.529620e-01,    2.291618e-01,    3.190866e-01,    9.454913e-02,    3.447880e-09,   -3.667809e-09,   -5.674810e-09,   -2.473650e-08,    6.236910e-02,   -6.420660e-02,   -6.236850e-02,    6.420660e-02,    3.021640e-09,    1.141960e-08,    9.999000e+03,    9.999000e+03,    3.118455e-03,   -3.210330e-03,   -3.118425e-03,    3.210330e-03,    9.999000e+03,    9.999000e+03,
         4,    1.000000e-03,    5.974454e-05,   -4.631813e-05,    6.165849e-04,   -6.036263e-04,   -4.530913e-04,    4.822872e-04,   -4.550253e-05,    3.538617e-05,    4.121557e-01,    2.918979e-01,   -2.032460e-01,   -1.031178e-01,    7.628054e-02,   -1.262437e-01,    1.044233e-01,   -1.220170e-01,    6.231280e-05,   -4.771080e-05,    6.103820e-04,   -6.005300e-04,   -4.548260e-04,    4.792620e-04,   -4.598270e-05,    3.495960e-05,    6.231280e-06,   -4.771080e-06,    3.051910e-05,   -3.002650e-05,   -2.274130e-05,    2.396310e-05,   -4.598270e-06,    3.495960e-06,
         4,    1.000000e-02,    1.728932e-04,   -5.211864e-05,    1.916669e-03,   -1.798328e-03,   -1.475944e-03,    1.658234e-03,   -1.303699e-04,    3.842474e-05,    1.977438e-01,    2.579607e-01,   -1.230422e-01,    7.149932e-02,   -2.204880e-01,   -9.906993e-02,   -7.176195e-02,   -4.662767e-01,    1.763810e-04,   -5.349870e-05,    1.904950e-03,   -1.804780e-03,   -1.459850e-03,    1.650060e-03,   -1.294410e-04,    3.671290e-05,    1.763810e-05,   -5.349870e-06,    9.524750e-05,   -9.023900e-05,   -7.299250e-05,    8.250300e-05,   -1.294410e-05,    3.671290e-06,
         4,    1.000000e-01,    1.299493e-04,    1.323079e-04,    5.605650e-03,   -6.312520e-03,   -5.151739e-03,    6.386804e-03,   -8.895106e-05,   -1.039015e-04,    4.245591e-01,    5.367304e-01,   -4.284542e-01,   -3.968205e-02,   -4.362739e-01,    6.744507e-01,   -8.936422e-02,   -4.865387e-03,    1.357110e-04,    1.398120e-04,    5.488080e-03,   -6.300020e-03,   -5.041760e-03,    6.609700e-03,   -8.816320e-05,   -1.038510e-04,    1.357110e-05,    1.398120e-05,    2.744040e-04,   -3.150010e-04,   -2.520880e-04,    3.304850e-04,   -8.816320e-06,   -1.038510e-05,
         4,    1.000000e+00,   -1.562845e-05,   -1.582904e-05,    2.011431e-02,   -1.994571e-02,   -1.974553e-02,    2.006630e-02,    8.663829e-06,    9.919200e-06,   -6.144904e-02,    8.087117e-02,   -1.384115e-02,   -2.070918e-01,    4.530652e-01,   -3.538978e-01,   -2.370726e-01,   -7.925850e-02,   -1.553300e-05,   -1.595810e-05,    2.010040e-02,   -1.974130e-02,   -2.020320e-02,    1.971740e-02,    8.463190e-06,    9.841200e-06,   -1.553300e-06,   -1.595810e-06,    1.005020e-03,   -9.870650e-04,   -1.010160e-03,    9.858700e-04,    8.463190e-07,    9.841200e-07,
         4,    1.000000e+01,   -2.522523e-06,    5.943133e-06,    6.163869e-02,   -6.355680e-02,   -6.163512e-02,    6.356618e-02,    2.068177e-05,   -2.355480e-05,    2.528450e-10,   -5.918989e-10,    2.342229e-01,    2.024088e-01,    2.351779e-01,    1.994876e-01,   -2.068686e-09,    2.354574e-09,    5.674810e-09,    2.473650e-08,    6.236910e-02,   -6.420660e-02,   -6.236850e-02,    6.420660e-02,   -3.021640e-09,   -1.141960e-08,    9.999000e+03,    9.999000e+03,    3.118455e-03,   -3.210330e-03,   -3.118425e-03,    3.210330e-03,    9.999000e+03,    9.999000e+03,
