MT    36
    1    1     -12.666000     -12.666000
  4
   0.001 -1.8402E-04 -2.7024E-05  5.1612E-03 -5.1906E-03 -1.4805E-03  1.6931E-03 -4.8152E-03  4.9124E-03  2.0287E-04  2.0287E-04  2.0287E-04  2.0287E-04  2.0287E-04  2.0287E-04  2.0287E-04  2.0287E-04
    0.01 -3.2813E-04 -1.4665E-03  1.6218E-02 -1.6494E-02 -4.8850E-03  6.7158E-03 -1.5218E-02  1.6067E-02  6.9300E-04  6.9300E-04  6.9300E-04  6.9300E-04  6.9300E-04  6.9300E-04  6.9300E-04  6.9300E-04
     0.1  4.4050E-03 -1.0338E-02  4.9473E-02 -6.1149E-02 -2.0024E-02  2.9833E-02 -4.8239E-02  6.1103E-02  2.6581E-03  2.6581E-03  2.6581E-03  2.6581E-03  2.6581E-03  2.6581E-03  2.6581E-03  2.6581E-03
       1  2.2361E-02 -3.8728E-02  1.7661E-01 -2.2003E-01 -7.8151E-02  1.1250E-01 -1.7359E-01  2.1964E-01  9.8296E-03  9.8296E-03  9.8296E-03  9.8296E-03  9.8296E-03  9.8296E-03  9.8296E-03  9.8296E-03
    2    2     -12.666000      -8.666000
  4
   0.001 -3.0302E-05  3.0934E-05  1.4157E-05 -1.2784E-05 -1.3463E-04  1.3968E-04  1.6869E-05 -1.0434E-05  3.0416E-06  3.0416E-06  3.0416E-06  3.0416E-06  3.0416E-06  3.0416E-06  3.0416E-06  3.0416E-06
    0.01 -9.5318E-05  1.0137E-04  4.2750E-05 -3.1087E-05 -4.2590E-04  4.7198E-04  4.5835E-05  9.5084E-06  9.1656E-06  9.1656E-06  9.1656E-06  9.1656E-06  9.1656E-06  9.1656E-06  9.1656E-06  9.1656E-06
     0.1 -2.9203E-04  4.0628E-04  9.5660E-05 -7.9717E-05 -1.3538E-03  1.9498E-03  4.0110E-07  2.2238E-04  2.7184E-05  2.7184E-05  2.7184E-05  2.7184E-05  2.7184E-05  2.7184E-05  2.7184E-05  2.7184E-05
       1 -1.0960E-03  1.6509E-03  3.1679E-04 -2.2775E-04 -5.1422E-03  7.9972E-03 -1.6571E-04  1.3298E-03  9.6301E-05  9.6301E-05  9.6301E-05  9.6301E-05  9.6301E-05  9.6301E-05  9.6301E-05  9.6301E-05
    3    3     -12.666000      -4.666000
  4
   0.001 -1.1966E-03  1.0499E-03  6.6694E-03 -6.6327E-03 -1.5473E-03  1.5487E-03  3.2655E-03 -3.2162E-03  2.2689E-04  2.2689E-04  2.2689E-04  2.2689E-04  2.2689E-04  2.2689E-04  2.2689E-04  2.2689E-04
    0.01 -3.6059E-03  2.3643E-03  2.0738E-02 -2.0544E-02 -4.8438E-03  4.8813E-03  1.0119E-02 -9.7585E-03  7.0841E-04  7.0841E-04  7.0841E-04  7.0841E-04  7.0841E-04  7.0841E-04  7.0841E-04  7.0841E-04
     0.1 -7.9386E-03  4.3548E-03  5.8226E-02 -7.9937E-02 -1.4264E-02  1.8775E-02  2.7721E-02 -3.7090E-02  2.4144E-03  2.4144E-03  2.4144E-03  2.4144E-03  2.4144E-03  2.4144E-03  2.4144E-03  2.4144E-03
       1 -3.0187E-02 -7.7112E-03  2.2304E-01 -3.3669E-01 -5.7024E-02  6.6361E-02  1.0430E-01 -1.5619E-01  9.3990E-03  9.3990E-03  9.3990E-03  9.3990E-03  9.3990E-03  9.3990E-03  9.3990E-03  9.3990E-03
    4    4     -12.666000       5.333000
  4
   0.001  6.1093E-05 -2.5498E-05  1.2229E-03 -1.2094E-03 -2.0972E-03  2.1959E-03 -9.6576E-04  9.1352E-04  1.1426E-04  1.1426E-04  1.1426E-04  1.1426E-04  1.1426E-04  1.1426E-04  1.1426E-04  1.1426E-04
