VTF   36
1     31          -13         -13
5
0.001 -2.124E-03 3.174E-03 5.138E-03 -4.489E-03 0.002124 3.174E-03 5.138E-03 0.004489
0.01 -8.483E-03 4.559E-03 1.615E-02 -1.369E-02 0.008483 4.559E-03 1.615E-02 0.01369
0.1 -1.509E-02 -1.741E-02 4.932E-02 -2.497E-02 0.01509 0.01741 4.932E-02 0.02497
1 3.968E-02 -1.331E-02 7.344E-02 2.263E-02 3.968E-02 0.01331 7.344E-02 2.263E-02
10 2.101E-02 -2.734E-03 3.361E-04 2.222E-02 2.101E-02 0.002734 3.361E-04 2.222E-02
2     32          -13         -9
5
0.001 -1.239E-03 2.385E-03 5.876E-03 -5.161E-03 0.001239 2.385E-03 5.876E-03 0.005161
0.01 -6.116E-03 2.341E-03 1.849E-02 -1.566E-02 0.006116 2.341E-03 1.849E-02 0.01566
0.1 -9.468E-03 -2.905E-02 5.552E-02 -3.005E-02 0.009468 0.02905 5.552E-02 0.03005
1 9.154E-02 -4.145E-02 9.925E-02 1.095E-02 9.154E-02 0.04145 9.925E-02 1.095E-02
10 7.418E-02 4.103E-02 1.026E-02 5.079E-02 7.418E-02 4.103E-02 1.026E-02 5.079E-02
3     33          -13         -5
5
0.001 -8.753E-04 2.017E-03 3.622E-03 -3.010E-03 0.0008753 2.017E-03 3.622E-03 0.00301
0.01 -5.173E-03 9.443E-04 1.149E-02 -9.782E-03 0.005173 9.443E-04 1.149E-02 0.009782
0.1 -4.924E-03 -3.748E-02 3.391E-02 -1.903E-02 0.004924 0.03748 3.391E-02 0.01903
1 1.220E-01 -4.520E-02 6.488E-02 3.810E-03 1.220E-01 0.0452 6.488E-02 3.810E-03
10 7.591E-02 3.810E-02 9.382E-03 1.782E-02 7.591E-02 3.810E-02 9.382E-03 1.782E-02
4     34          -13         5
5
0.001 -6.578E-04 1.895E-03 -3.504E-03 3.721E-03 0.0006578 1.895E-03 0.003504 3.721E-03
0.01 -4.928E-03 7.184E-04 -1.064E-02 8.488E-03 0.004928 7.184E-04 0.01064 8.488E-03
0.1 -3.852E-03 -3.888E-02 -3.226E-02 1.447E-02 0.003852 0.03888 0.03226 1.447E-02
1 1.237E-01 -4.785E-02 -5.088E-02 -1.922E-02 1.237E-01 0.04785 0.05088 0.01922
10 9.276E-02 1.328E-02 3.132E-02 -6.312E-02 9.276E-02 1.328E-02 3.132E-02 0.06312
5     35          -13         9
5
