PT    36
1     31          -13         -13
5
0.001 -9.987E-01  1.270E-02   1.356E-02   -1.007E+00  -4.994E-02  6.352E-04   6.780E-04   -5.033E-02
0.01  -9.890E-01  3.881E-02   3.523E-02   -1.015E+00  -4.945E-02  1.941E-03   1.761E-03   -5.075E-02
0.1   -1.086E+00  1.148E-01   3.203E-02   -1.054E+00  -5.428E-02  5.739E-03   1.601E-03   -5.269E-02
1     -1.103E+00  1.134E-01   -1.467E-02  -9.879E-01  -5.516E-02  5.670E-03   -7.334E-04  -4.940E-02
10    -1.013E+00  3.951E-02   8.767E-04   -9.705E-01  -5.067E-02  1.975E-03   4.384E-05   -4.852E-02
2     32          -13         -9
5
0.001 -1.001E+00  2.084E-02   1.938E-02   -1.015E+00  -5.005E-02  1.042E-03   9.689E-04   -5.073E-02
0.01  -9.993E-01  6.269E-02   5.510E-02   -1.040E+00  -4.997E-02  3.134E-03   2.755E-03   -5.202E-02
0.1   -1.143E+00  1.745E-01   8.832E-02   -1.136E+00  -5.713E-02  8.727E-03   4.416E-03   -5.681E-02
1     -1.166E+00  1.746E-01   -3.963E-03  -1.189E+00  -5.831E-02  8.731E-03   -1.981E-04  -5.947E-02
10    -8.899E-01  1.125E-01   -9.532E-03  -1.064E+00  -4.449E-02  5.623E-03   -4.766E-04  -5.320E-02
3     33          -13         -5
5
0.001 -1.004E+00  1.499E-02   1.241E-02   -1.031E+00  -5.018E-02  7.496E-04   6.204E-04   -5.157E-02
0.01  -1.008E+00  4.455E-02   3.725E-02   -1.092E+00  -5.040E-02  2.228E-03   1.863E-03   -5.460E-02
0.1   -1.171E+00  1.170E-01   6.723E-02   -1.289E+00  -5.853E-02  5.849E-03   3.362E-03   -6.443E-02
1     -1.177E+00  1.078E-01   -4.457E-02  -1.479E+00  -5.883E-02  5.388E-03   -2.229E-03  -7.395E-02
10    -8.392E-01  7.057E-02   -2.026E-02  -1.156E+00  -4.196E-02  3.529E-03   -1.013E-03  -5.779E-02
4     34          -13         5
5
0.001 -1.004E+00  -1.497E-02  -1.240E-02  -1.032E+00  -5.018E-02  -7.484E-04  -6.201E-04  -5.158E-02
0.01  -1.008E+00  -4.455E-02  -3.725E-02  -1.092E+00  -5.040E-02  -2.227E-03  -1.862E-03  -5.460E-02
0.1   -1.171E+00  -1.170E-01  -6.723E-02  -1.289E+00  -5.853E-02  -5.849E-03  -3.362E-03  -6.443E-02
1     -1.177E+00  -1.078E-01  4.457E-02   -1.479E+00  -5.883E-02  -5.388E-03  2.229E-03   -7.395E-02
10    -8.392E-01  -7.057E-02  2.026E-02   -1.156E+00  -4.196E-02  -3.529E-03  1.013E-03   -5.779E-02
5     35          -13         9
5
0.001 -1.001E+00  -2.081E-02  -1.937E-02  -1.015E+00  -5.005E-02  -1.041E-03  -9.686E-04  -5.073E-02
0.01  -9.993E-01  -6.268E-02  -5.510E-02  -1.040E+00  -4.997E-02  -3.134E-03  -2.755E-03  -5.202E-02
0.1   -1.143E+00  -1.745E-01  -8.832E-02  -1.136E+00  -5.713E-02  -8.727E-03  -4.416E-03  -5.681E-02
1     -1.166E+00  -1.746E-01  3.963E-03   -1.189E+00  -5.831E-02  -8.731E-03  1.981E-04   -5.947E-02
10    -8.899E-01  -1.125E-01  9.532E-03   -1.064E+00  -4.449E-02  -5.623E-03  4.766E-04   -5.320E-02
6     36          -13         13
5
0.001 -9.987E-01  -1.268E-02  -1.355E-02  -1.007E+00  -4.994E-02  -6.340E-04  -6.777E-04  -5.033E-02
0.01  -9.890E-01  -3.881E-02  -3.522E-02  -1.015E+00  -4.945E-02  -1.941E-03  -1.761E-03  -5.075E-02
0.1   -1.086E+00  -1.148E-01  -3.203E-02  -1.054E+00  -5.428E-02  -5.739E-03  -1.601E-03  -5.269E-02
1     -1.103E+00  -1.134E-01  1.467E-02   -9.879E-01  -5.516E-02  -5.670E-03  7.334E-04   -4.940E-02
10    -1.013E+00  -3.951E-02  -8.767E-04  -9.705E-01  -5.067E-02  -1.975E-03  -4.384E-05  -4.852E-02
7     25          -9          -13
5
0.001 -9.940E-01  6.403E-03   5.107E-03   -1.002E+00  -4.970E-02  3.201E-04   2.553E-04   -5.011E-02
0.01  -9.742E-01  2.104E-02   9.740E-03   -1.005E+00  -4.871E-02  1.052E-03   4.870E-04   -5.026E-02
0.1   -1.083E+00  8.239E-02   -1.526E-02  -1.053E+00  -5.416E-02  4.119E-03   -7.628E-04  -5.265E-02
1     -1.323E+00  1.438E-01   -2.623E-02  -9.972E-01  -6.615E-02  7.189E-03   -1.312E-03  -4.986E-02
10    -1.133E+00  3.812E-02   3.872E-02   -8.189E-01  -5.663E-02  1.906E-03   1.936E-03   -4.095E-02
8     26          -9          -9
5
0.001 -9.700E-01  1.195E-02   1.552E-02   -9.877E-01  -4.850E-02  5.976E-04   7.762E-04   -4.939E-02
0.01  -9.113E-01  3.779E-02   3.885E-02   -9.630E-01  -4.557E-02  1.889E-03   1.943E-03   -4.815E-02
0.1   -9.784E-01  1.259E-01   3.734E-02   -9.591E-01  -4.892E-02  6.296E-03   1.867E-03   -4.796E-02
1     -1.372E+00  2.335E-01   -2.888E-02  -1.108E+00  -6.861E-02  1.168E-02   -1.444E-03  -5.541E-02
10    -1.530E+00  2.671E-01   7.975E-02   -1.220E+00  -7.650E-02  1.335E-02   3.988E-03   -6.098E-02
9     27          -9          -5
5
0.001 -9.639E-01  4.125E-03   6.961E-03   -9.844E-01  -4.819E-02  2.063E-04   3.480E-04   -4.922E-02
0.01  -8.960E-01  1.245E-02   1.562E-02   -9.558E-01  -4.480E-02  6.225E-04   7.809E-04   -4.779E-02
0.1   -9.618E-01  3.394E-02   -5.343E-03  -9.797E-01  -4.809E-02  1.697E-03   -2.671E-04  -4.899E-02
1     -1.517E+00  8.595E-02   -7.415E-02  -1.406E+00  -7.586E-02  4.298E-03   -3.707E-03  -7.030E-02
10    -1.872E+00  1.917E-01   -5.680E-03  -1.282E+00  -9.360E-02  9.584E-03   -2.840E-04  -6.410E-02
10    28          -9          5
5
0.001 -9.639E-01  -4.108E-03  -6.955E-03  -9.844E-01  -4.819E-02  -2.054E-04  -3.477E-04  -4.922E-02
0.01  -8.960E-01  -1.245E-02  -1.562E-02  -9.558E-01  -4.480E-02  -6.224E-04  -7.808E-04  -4.779E-02
0.1   -9.618E-01  -3.394E-02  5.343E-03   -9.797E-01  -4.809E-02  -1.697E-03  2.671E-04   -4.899E-02
1     -1.517E+00  -8.595E-02  7.415E-02   -1.406E+00  -7.586E-02  -4.298E-03  3.707E-03   -7.030E-02
10    -1.872E+00  -1.917E-01  5.680E-03   -1.282E+00  -9.360E-02  -9.584E-03  2.840E-04   -6.410E-02
11    29          -9          9
5
0.001 -9.700E-01  -1.193E-02  -1.552E-02  -9.877E-01  -4.850E-02  -5.967E-04  -7.759E-04  -4.939E-02
0.01  -9.113E-01  -3.779E-02  -3.885E-02  -9.630E-01  -4.557E-02  -1.889E-03  -1.943E-03  -4.815E-02
0.1   -9.784E-01  -1.259E-01  -3.734E-02  -9.591E-01  -4.892E-02  -6.296E-03  -1.867E-03  -4.796E-02
1     -1.372E+00  -2.335E-01  2.888E-02   -1.108E+00  -6.861E-02  -1.168E-02  1.444E-03   -5.541E-02
10    -1.530E+00  -2.671E-01  -7.975E-02  -1.220E+00  -7.650E-02  -1.335E-02  -3.988E-03  -6.098E-02
12    30          -9          13
5
0.001 -9.940E-01  -6.384E-03  -5.100E-03  -1.002E+00  -4.970E-02  -3.192E-04  -2.550E-04  -5.011E-02
0.01  -9.742E-01  -2.104E-02  -9.738E-03  -1.005E+00  -4.871E-02  -1.052E-03  -4.869E-04  -5.026E-02
0.1   -1.083E+00  -8.239E-02  1.526E-02   -1.053E+00  -5.416E-02  -4.119E-03  7.628E-04   -5.265E-02
1     -1.323E+00  -1.438E-01  2.623E-02   -9.972E-01  -6.615E-02  -7.189E-03  1.312E-03   -4.986E-02
10    -1.133E+00  -3.812E-02  -3.872E-02  -8.189E-01  -5.663E-02  -1.906E-03  -1.936E-03  -4.095E-02
13    19          -5          -13
5
0.001 -9.910E-01  -1.462E-02  -2.019E-02  -1.002E+00  -4.955E-02  -7.312E-04  -1.009E-03  -5.010E-02
